Title,Link,Company,Date
Tools Developer (World of Tanks),https://rabota.by/vacancy/40845490?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,"Wargaming, Minsk (Game Stream)",2020-12-22 00:00:00
Lead DevOps Engineer (Product Company),https://rabota.by/vacancy/41110984?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Profitero,2020-12-22 00:00:00
Rust Developer,https://hh.ru/vacancy/40925125?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,TR Logic LLC,2020-12-28 00:00:00
Python (Back-end) Developer,https://rabota.by/vacancy/40380485?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,BP Mobile,2020-12-27 00:00:00
IOS Developer,https://rabota.by/vacancy/41116214?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Сампад,2020-12-28 00:00:00
Middle DevOps Engineer,https://rabota.by/vacancy/40803508?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Softeq Development,2020-12-28 00:00:00
DevOps Kubernetes,https://hh.ru/vacancy/40873083?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,101XP,2020-12-26 00:00:00
ASP.NET Backend Developer (Senior),https://rabota.by/vacancy/41087175?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Saber Interactive (Minsk),2020-12-27 00:00:00
"Junior Full-Stack Developer (PHP Wordpress, Laravel, Symfony, Code Igniter, Zend, Python, Django)",https://rabota.by/vacancy/41096836?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Фреш Лайм Софт,2020-12-27 00:00:00
Data Engineer,https://rabota.by/vacancy/41095304?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Kufar,2020-12-27 00:00:00
Automation QA Engineer,https://rabota.by/vacancy/41037986?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Иностр. п. Admitad,2020-12-28 00:00:00
Разработчик в группу Robotics Process Automation,https://rabota.by/vacancy/41134309?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,EY,2020-12-26 00:00:00
C++ developer,https://rabota.by/vacancy/39862350?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Бануба Девелопмент,2020-12-26 00:00:00
Frontend developer (React),https://rabota.by/vacancy/41072571?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Он Зэ Спот Девелопмент,2020-12-27 00:00:00
Data engineer/ Java developer,https://rabota.by/vacancy/39361352?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Бануба Девелопмент,2020-12-26 00:00:00
Lead Python Engineer at Orca Security,https://rabota.by/vacancy/40862478?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Он Зэ Спот Девелопмент,2020-12-26 00:00:00
Frontend Engineer (Vue.js),https://rabota.by/vacancy/41073038?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Он Зэ Спот Девелопмент,2020-12-27 00:00:00
Data Engineer,https://rabota.by/vacancy/40811923?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Gismart,2020-12-28 00:00:00
BI Developer,https://rabota.by/vacancy/37923948?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,iTechArt Group,2020-12-21 00:00:00
Middle/Senior Python developer,https://rabota.by/vacancy/41065316?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ЗАО Научсофт,2020-12-18 00:00:00
Frontend Developer,https://rabota.by/vacancy/40539468?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Melsoft Games,2020-12-19 00:00:00
Middle / Senior BackEnd developer,https://rabota.by/vacancy/40581434?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Он Зэ Спот Девелопмент,2020-12-26 00:00:00
Unity/C# разработчик (SDK),https://hh.ru/vacancy/41057970?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,"Mail.Ru Group, Игры",2020-12-17 00:00:00
GoLang Senior разработчик,https://hh.ru/vacancy/41076632?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,2Relocate.com,2020-12-20 00:00:00
Middle/Senior python developer to CloudLinux OS Packaging team,https://hh.ru/vacancy/41039555?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Cloud Linux,2020-12-16 00:00:00
Senior Big Data Developer (Scala),https://rabota.by/vacancy/41031233?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Exadel,2020-12-16 00:00:00
Front-end developer (Vue.js),https://rabota.by/vacancy/40771902?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,УП Руна Системс,2020-12-14 00:00:00
PHP Developer,https://rabota.by/vacancy/37371112?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,iTechArt Group,2020-12-14 00:00:00
